Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
PRAHOM,PRAXIS HOME RETAIL LIMITED,INE546Y01022,Buy,1040,19.80,60.86,0.65,0.00,TT,STT Paid,icicidirect,23-Dec-2024,NSE,
RELIND,RELIANCE INDUSTRIES,INE002A01018,Buy,50,1289.40,220.98,2.04,10.00,TT,STT Paid,icicidirect,08-Jul-2026,NSE,
SBINIF,SBI-ETF NIFTY 50,INF200KA1FS1,Buy,269,111.20,88.36,0.66,3.00,Rolling,STT Not Paid,icicidirect,04-Sep-2019,NSE,
SBIS50,SBI  ETF SENSEX NEXT 50,INF200KA1VQ2,Buy,74,299.50,65.49,0.62,0.00,Rolling,STT Paid,icicidirect,06-Aug-2019,BSE,
SBIS50,SBI  ETF SENSEX NEXT 50,INF200KA1VQ2,Buy,276,299.50,244.27,2.31,0.00,Rolling,STT Paid,icicidirect,06-Aug-2019,BSE,
SBISEN,SBI MUTUAL FUND SBI SENSEX ETF,INF200K01VT2,Buy,300,390.90,346.54,3.28,23.00,Rolling,STT Paid,icicidirect,06-Aug-2019,BSE,
SBISEN,SBI MUTUAL FUND SBI SENSEX ETF,INF200K01VT2,Buy,64,387.75,73.33,0.69,3.00,Rolling,STT Paid,icicidirect,04-Sep-2019,BSE,
SBISEN,SBI MUTUAL FUND SBI SENSEX ETF,INF200K01VT2,Buy,48,402.10,57.03,0.54,10.00,Rolling,STT Paid,icicidirect,09-Mar-2020,BSE,
SBISEN,SBI MUTUAL FUND SBI SENSEX ETF,INF200K01VT2,Buy,100,402.10,118.82,1.13,0.00,Rolling,STT Paid,icicidirect,09-Mar-2020,BSE,
SBISEN,SBI MUTUAL FUND SBI SENSEX ETF,INF200K01VT2,Buy,100,402.10,118.82,1.13,0.00,Rolling,STT Paid,icicidirect,09-Mar-2020,BSE,
SBISEN,SBI MUTUAL FUND SBI SENSEX ETF,INF200K01VT2,Buy,2,331.00,19.53,0.02,1.00,Rolling,STT Paid,icicidirect,24-Mar-2020,BSE,
