Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,2,141.63,0.24,0.01,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,7,141.56,0.82,0.03,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,1,141.64,0.12,0.00,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,25,141.68,2.95,0.12,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,11,141.63,1.30,0.05,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,100,27.95,6.28,0.10,0.28,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,18,27.95,1.13,0.02,0.05,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,250,28.00,15.73,0.25,0.70,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,18,27.95,1.13,0.02,0.05,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,84,28.00,5.29,0.08,0.24,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,18,27.95,1.13,0.02,0.05,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
